"names","waves","vars"
"ER24138D1",2003,"ChildcareExpenditures"
"ER28037D2",2005,"ChildcareExpenditures"
"ER41027D2",2007,"ChildcareExpenditures"
"ER46971D2",2009,"ChildcareExpenditures"
"ER52395D2",2011,"ChildcareExpenditures"
"ER33718",2003,"HealthInsurance_Men1"
"ER33819",2005,"HealthInsurance_Men1"
"ER33919",2007,"HealthInsurance_Men1"
"ER34022",2009,"HealthInsurance_Men1"
"ER34121",2011,"HealthInsurance_Men1"
"ER33719",2003,"HealthInsurance_Men2"
"ER33820",2005,"HealthInsurance_Men2"
"ER33920",2007,"HealthInsurance_Men2"
"ER34023",2009,"HealthInsurance_Men2"
"ER34122",2011,"HealthInsurance_Men2"
"ER33720",2003,"HealthInsurance_Men3"
"ER33821",2005,"HealthInsurance_Men3"
"ER33921",2007,"HealthInsurance_Men3"
"ER34024",2009,"HealthInsurance_Men3"
"ER34123",2011,"HealthInsurance_Men3"
"ER24170",2003,"HouseholdID"
"ER28069",2005,"HouseholdID"
"ER41059",2007,"HouseholdID"
"ER47003",2009,"HouseholdID"
"ER52427",2011,"HouseholdID"
"ER21023",2003,"MaritalStatusOfHead"
"ER25023",2005,"MaritalStatusOfHead"
"ER36023",2007,"MaritalStatusOfHead"
"ER42023",2009,"MaritalStatusOfHead"
"ER47323",2011,"MaritalStatusOfHead"
"ER21020",2003,"NumberOfChildrenInFU"
"ER25020",2005,"NumberOfChildrenInFU"
"ER36020",2007,"NumberOfChildrenInFU"
"ER42020",2009,"NumberOfChildrenInFU"
"ER47320",2011,"NumberOfChildrenInFU"
"ER21042",2003,"OwnOrRent"
"ER25028",2005,"OwnOrRent"
"ER36028",2007,"OwnOrRent"
"ER42029",2009,"OwnOrRent"
"ER47329",2011,"OwnOrRent"
"ER23426",2003,"RaceOfHead_Men1"
"ER27393",2005,"RaceOfHead_Men1"
"ER40565",2007,"RaceOfHead_Men1"
"ER46543",2009,"RaceOfHead_Men1"
"ER51904",2011,"RaceOfHead_Men1"
"ER23427",2003,"RaceOfHead_Men2"
"ER27394",2005,"RaceOfHead_Men2"
"ER40566",2007,"RaceOfHead_Men2"
"ER46544",2009,"RaceOfHead_Men2"
"ER51905",2011,"RaceOfHead_Men2"
"ER23428",2003,"RaceOfHead_Men3"
"ER27395",2005,"RaceOfHead_Men3"
"ER40567",2007,"RaceOfHead_Men3"
"ER46545",2009,"RaceOfHead_Men3"
"ER51906",2011,"RaceOfHead_Men3"
"ER27392",2005,"RaceOfHead_SpanishDescent"
"ER40564",2007,"RaceOfHead_SpanishDescent"
"ER46542",2009,"RaceOfHead_SpanishDescent"
"ER51903",2011,"RaceOfHead_SpanishDescent"
"ER23334",2003,"RaceOfSpouse_Men1"
"ER27297",2005,"RaceOfSpouse_Men1"
"ER40472",2007,"RaceOfSpouse_Men1"
"ER46449",2009,"RaceOfSpouse_Men1"
"ER51810",2011,"RaceOfSpouse_Men1"
"ER23335",2003,"RaceOfSpouse_Men2"
"ER27298",2005,"RaceOfSpouse_Men2"
"ER40473",2007,"RaceOfSpouse_Men2"
"ER46450",2009,"RaceOfSpouse_Men2"
"ER51811",2011,"RaceOfSpouse_Men2"
"ER23336",2003,"RaceOfSpouse_Men3"
"ER27299",2005,"RaceOfSpouse_Men3"
"ER40474",2007,"RaceOfSpouse_Men3"
"ER46451",2009,"RaceOfSpouse_Men3"
"ER51812",2011,"RaceOfSpouse_Men3"
"ER21005",2003,"Splitoff_Indicator"
"ER25005",2005,"Splitoff_Indicator"
"ER36005",2007,"Splitoff_Indicator"
"ER42005",2009,"Splitoff_Indicator"
"ER47305",2011,"Splitoff_Indicator"
"ER21003",2003,"StateNow"
"ER25003",2005,"StateNow"
"ER36003",2007,"StateNow"
"ER42003",2009,"StateNow"
"ER47303",2011,"StateNow"
"ER24101",2003,"TransferIncome_HeadAndSpouse"
"ER28002",2005,"TransferIncome_HeadAndSpouse"
"ER40992",2007,"TransferIncome_HeadAndSpouse"
"ER46900",2009,"TransferIncome_HeadAndSpouse"
"ER52308",2011,"TransferIncome_HeadAndSpouse"
"ER22722",2003,"WhetherPension_Head"
"ER26703",2005,"WhetherPension_Head"
"ER37739",2007,"WhetherPension_Head"
"ER43712",2009,"WhetherPension_Head"
"ER49057",2011,"WhetherPension_Head"
"ER22866",2003,"WhetherPension_Spouse"
"ER26847",2005,"WhetherPension_Spouse"
"ER37971",2007,"WhetherPension_Spouse"
"ER43944",2009,"WhetherPension_Spouse"
"ER49276",2011,"WhetherPension_Spouse"
"ER33704",2003,"Age"
"ER33804",2005,"Age"
"ER33904",2007,"Age"
"ER34004",2009,"Age"
"ER34104",2011,"Age"
"ER33716",2003,"Education"
"ER33817",2005,"Education"
"ER33917",2007,"Education"
"ER34020",2009,"Education"
"ER34119",2011,"Education"
"ER33712",2003,"EmploymentStatus"
"ER33813",2005,"EmploymentStatus"
"ER33913",2007,"EmploymentStatus"
"ER34016",2009,"EmploymentStatus"
"ER34116",2011,"EmploymentStatus"
"ER33701",2003,"InterviewID"
"ER33801",2005,"InterviewID"
"ER33901",2007,"InterviewID"
"ER34001",2009,"InterviewID"
"ER34101",2011,"InterviewID"
"ER33707",2003,"MarriedPairsIndicator"
"ER33807",2005,"MarriedPairsIndicator"
"ER33907",2007,"MarriedPairsIndicator"
"ER34007",2009,"MarriedPairsIndicator"
"ER34107",2011,"MarriedPairsIndicator"
"ER33703",2003,"RelationshipToHead"
"ER33803",2005,"RelationshipToHead"
"ER33903",2007,"RelationshipToHead"
"ER34003",2009,"RelationshipToHead"
"ER34103",2011,"RelationshipToHead"
"ER33702",2003,"SequenceNumber"
"ER33802",2005,"SequenceNumber"
"ER33902",2007,"SequenceNumber"
"ER34002",2009,"SequenceNumber"
"ER34102",2011,"SequenceNumber"
